"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
20, -4.783333333333337e+01, -5.000000000000000e+01, -3.623959618362160e-02, -7.247919236724318e-02, -6.694220464544721e-07, 0.000000000000000e+00, 0.000000000000000e+00
21, -4.766666666666670e+01, -5.000000000000000e+01, -2.545437067771140e-02, -5.090874135542280e-02, -4.515833574097663e-07, 0.000000000000000e+00, 0.000000000000000e+00
22, -4.750000000000004e+01, -5.000000000000000e+01, -1.530096683487263e-02, -3.060193366974526e-02, -3.363229752568382e-07, 0.000000000000000e+00, 0.000000000000000e+00
23, -4.733333333333337e+01, -5.000000000000000e+01, -6.814046236377315e-03, -1.362809247275463e-02, -3.396461461734608e-07, 0.000000000000000e+00, 0.000000000000000e+00
24, -4.716666666666670e+01, -5.000000000000000e+01, -1.194334307148425e-03, -2.388668614296850e-03, -3.690388855817294e-07, 0.000000000000000e+00, 0.000000000000000e+00
25, -4.700000000000004e+01, -5.000000000000000e+01, 3.625740301052211e-03, 7.251480602104420e-03, -3.887006635722712e-07, 0.000000000000000e+00, 0.000000000000000e+00
26, -4.683333333333338e+01, -5.000000000000000e+01, 8.230465535654865e-03, 1.646093107130973e-02, -1.755953635367571e-07, 0.000000000000000e+00, 0.000000000000000e+00
27, -4.666666666666671e+01, -5.000000000000000e+01, 1.237611260437537e-02, 2.475222520875073e-02, -8.339621092754578e-08, 0.000000000000000e+00, 0.000000000000000e+00
28, -4.650000000000005e+01, -5.000000000000000e+01, 1.634860852738799e-02, 3.269721705477598e-02, -9.567315780735963e-09, 0.000000000000000e+00, 0.000000000000000e+00
29, -4.633333333333339e+01, -5.000000000000000e+01, 1.977450550850744e-02, 3.954901101701487e-02, -6.152656380742711e-08, 0.000000000000000e+00, 0.000000000000000e+00
30, -4.616666666666673e+01, -5.000000000000000e+01, 2.505201280428363e-02, 5.010402560856724e-02, 1.700062387721689e-08, 0.000000000000000e+00, 0.000000000000000e+00
31, -4.600000000000006e+01, -5.000000000000000e+01, 3.101380157030906e-02, 6.202760314061810e-02, 1.414441370420250e-07, 0.000000000000000e+00, 0.000000000000000e+00
32, -4.583333333333339e+01, -5.000000000000000e+01, 3.681531469326393e-02, 7.363062938652785e-02, 2.331517740862483e-07, 0.000000000000000e+00, 0.000000000000000e+00
33, -4.566666666666673e+01, -5.000000000000000e+01, 4.195907366732787e-02, 8.391814733465572e-02, 2.558946515317511e-07, 0.000000000000000e+00, 0.000000000000000e+00
34, -4.550000000000006e+01, -5.000000000000000e+01, 4.544842242241079e-02, 9.089684484482156e-02, 2.688889841842185e-07, 0.000000000000000e+00, 0.000000000000000e+00
35, -4.533333333333340e+01, -5.000000000000000e+01, 4.836314696180014e-02, 9.672629392360024e-02, 2.737404214297371e-07, 0.000000000000000e+00, 0.000000000000000e+00
36, -4.516666666666674e+01, -5.000000000000000e+01, 5.138248990607580e-02, 1.027649798121516e-01, 4.349861039153368e-07, 0.000000000000000e+00, 0.000000000000000e+00
37, -4.500000000000007e+01, -5.000000000000000e+01, 5.393668912213322e-02, 1.078733782442664e-01, 5.330320246846107e-07, 0.000000000000000e+00, 0.000000000000000e+00
38, -4.483333333333341e+01, -5.000000000000000e+01, 5.626987357429503e-02, 1.125397471485900e-01, 6.295338752315519e-07, 0.000000000000000e+00, 0.000000000000000e+00
39, -4.466666666666674e+01, -5.000000000000000e+01, 5.812324888313213e-02, 1.162464977662642e-01, 6.098163531040793e-07, 0.000000000000000e+00, 0.000000000000000e+00
40, -4.450000000000009e+01, -5.000000000000000e+01, 6.104219406711506e-02, 1.220843881342301e-01, 6.376359876234283e-07, 0.000000000000000e+00, 0.000000000000000e+00
41, -4.433333333333341e+01, -5.000000000000000e+01, 6.421283842018927e-02, 1.284256768403785e-01, 6.809856631716687e-07, 0.000000000000000e+00, 0.000000000000000e+00
42, -4.416666666666675e+01, -5.000000000000000e+01, 6.782548991058025e-02, 1.356509798211605e-01, 6.972146076848977e-07, 0.000000000000000e+00, 0.000000000000000e+00
